路测标识,小区ID,纬度,经度,接收电平
KeyNum,CellID,Latitude,Longitude,RxLev
305293,9151,121.147875,41.131447,-95.702194
305294,9151,121.147876,41.131449,-95.704896
305295,9151,121.147878,41.131451,-95.707598
305296,9151,121.14788,41.131453,-95.710299
305297,9151,121.147882,41.131454,-95.713
305298,9151,121.147883,41.131456,-95.715701
305299,9151,121.147885,41.131458,-95.7184
305300,9151,121.147887,41.131459,-95.7211
305301,9151,121.147888,41.131461,-95.723799
305302,9151,121.14789,41.131463,-95.726497
305303,9151,121.147892,41.131464,-95.729195
305304,9151,121.147893,41.131466,-95.731892
305305,9151,121.147895,41.131468,-95.734589
305306,9151,121.147897,41.13147,-95.737286
305307,9151,121.147899,41.131471,-95.739981
305308,9151,121.1479,41.131473,-95.742677
305309,9151,121.147902,41.131475,-95.745372
305310,9151,121.147904,41.131476,-95.748066
305311,9151,121.147905,41.131478,-95.75076
305312,9151,121.147907,41.13148,-95.753454
305313,9151,121.147909,41.131481,-95.756147
305314,9151,121.14791,41.131483,-95.758839
305315,9151,121.147912,41.131485,-95.761532
305316,9151,121.147914,41.131487,-95.764223
305317,9151,121.147916,41.131488,-95.766914
305318,9151,121.147917,41.13149,-95.769605
305319,9151,121.147919,41.131492,-95.772295
305320,9151,121.147921,41.131493,-95.774985
305321,9151,121.147922,41.131495,-95.777674
305322,9151,121.147924,41.131497,-95.780362
305323,9151,121.147926,41.131498,-95.783051
305324,9151,121.147927,41.1315,-95.785738
305325,9151,121.147929,41.131502,-95.788426
305326,9151,121.147931,41.131504,-95.791112
305327,9151,121.147933,41.131505,-95.793799
305328,9151,121.147934,41.131507,-95.796485
305329,9151,121.147936,41.131509,-95.79917
305330,9151,121.147938,41.13151,-95.801855
305331,9151,121.147939,41.131512,-95.804539
305332,9151,121.147941,41.131514,-95.807223
305333,9151,121.147943,41.131515,-95.809906
305334,9151,121.147944,41.131517,-95.812589
305335,9151,121.147946,41.131519,-95.815272
305336,9151,121.147948,41.131521,-95.817954
305337,9151,121.14795,41.131522,-95.820635
305338,9151,121.147951,41.131524,-95.823316
305339,9151,121.147953,41.131526,-95.825997
305340,9151,121.147955,41.131527,-95.828677
305341,9151,121.147956,41.131529,-95.831356
305342,9151,121.147958,41.131531,-95.834035
305343,9151,121.14796,41.131532,-95.836714
305344,9151,121.147961,41.131534,-95.839392
305345,9151,121.147963,41.131536,-95.84207
305346,9151,121.147965,41.131538,-95.844747
305347,9151,121.147967,41.131539,-95.847423
305348,9151,121.147968,41.131541,-95.8501
305349,9151,121.14797,41.131543,-95.852775
305350,9151,121.147972,41.131544,-95.855451
305351,9151,121.147973,41.131546,-95.858125
305352,9151,121.147975,41.131548,-95.8608
305353,9151,121.147977,41.131549,-95.863474
305354,9151,121.147978,41.131551,-95.866147
305355,9151,121.14798,41.131553,-95.86882
305356,9151,121.147982,41.131555,-95.871492
305357,9151,121.147984,41.131556,-95.874164
305358,9151,121.147985,41.131558,-95.876836
305359,9151,121.147987,41.13156,-95.879507
305360,9151,121.147989,41.131561,-95.882177
305361,9151,121.14799,41.131563,-95.884847
305362,9151,121.147992,41.131565,-95.887517
305363,9151,121.147994,41.131566,-95.890186
305364,9151,121.147995,41.131568,-95.892854
305365,9151,121.147997,41.13157,-95.895522
305366,9151,121.147999,41.131572,-95.89819
305367,9151,121.148001,41.131573,-95.900857
305368,9151,121.148002,41.131575,-95.903524
305369,9151,121.148004,41.131577,-95.90619
305370,9151,121.148006,41.131578,-95.908856
305371,9151,121.148007,41.13158,-95.911521
305372,9151,121.148009,41.131582,-95.914186
305373,9151,121.148011,41.131583,-95.91685
305374,9151,121.148012,41.131585,-95.919514
305375,9151,121.148014,41.131587,-95.922177
305376,9151,121.148016,41.131589,-95.92484
305377,9151,121.148018,41.13159,-95.927503
305378,9151,121.148019,41.131592,-95.930165
305379,9151,121.148021,41.131594,-95.932826
305380,9151,121.148023,41.131595,-95.935487
305381,9151,121.148024,41.131597,-95.938148
305382,9151,121.148026,41.131599,-95.940808
305383,9151,121.148028,41.1316,-95.943467
305384,9151,121.148029,41.131602,-95.946126
305385,9151,121.148031,41.131604,-95.948785
305386,9151,121.148033,41.131606,-95.951443
305387,9151,121.148035,41.131607,-95.954101
305388,9151,121.148036,41.131609,-95.956758
305389,9151,121.148038,41.131611,-95.959415
305390,9151,121.14804,41.131612,-95.962071
305391,9151,121.148041,41.131614,-95.964727
305392,9151,121.148043,41.131616,-95.967382
305393,9151,121.148045,41.131617,-95.970037
305394,9151,121.148046,41.131619,-95.972692
305395,9151,121.148048,41.131621,-95.975346
305396,9151,121.14805,41.131623,-95.977999
305397,9151,121.148052,41.131624,-95.980652
305398,9151,121.148053,41.131626,-95.983305
305399,9151,121.148055,41.131628,-95.985957
305400,9151,121.148057,41.131629,-95.988608
305401,9151,121.148058,41.131631,-95.99126
305402,9151,121.14806,41.131633,-95.99391
305403,9151,121.148062,41.131634,-95.99656
305404,9151,121.148063,41.131636,-95.99921
