本小区ID,邻小区ID,本小区LAC,邻小区LAC,
CellId,AdjcellId,CellLac,Adjcelllac,
9153,9133,14119,14119,
9153,9152,14119,14119,
9153,9131,14119,14119,
9153,9191,14119,14119,
9153,9072,14119,14119,
9153,9312,14119,14119,
9153,9523,14119,14119,
9153,9382,14119,14119,
9153,9461,14119,14119,
9153,9031,14119,14119,
9153,9143,14119,14119,
9153,9551,14119,14119,
9153,9151,14119,14119,
9153,9241,14119,14119,
9153,9463,14119,14119,
9153,9462,14119,14119,
9153,9552,14119,14119,
9153,9013,14119,14119,
9153,9071,14119,14119,
9153,9132,14119,14119,
9153,9192,14119,14119,
9153,9371,14119,14119,
9153,9243,14119,14119,
9241,9053,14119,14119,
9241,9072,14119,14119,
9241,9073,14119,14119,
9241,9132,14119,14119,
9241,9152,14119,14119,
9241,9192,14119,14119,
9241,9462,14119,14119,
9241,9242,14119,14119,
9241,9213,14119,14119,
9241,9013,14119,14119,
9241,9261,14119,14119,
9241,9543,14119,14119,
9241,9061,14119,14119,
9241,9141,14119,14119,
9241,9143,14119,14119,
9241,9071,14119,14119,
9241,9142,14119,14119,
9241,9151,14119,14119,
9241,9153,14119,14119,
9241,9243,14119,14119,
9241,9271,14119,14119,
9241,9203,14119,14119,
9241,9371,14119,14119,
9241,9461,14119,14119,
9241,9463,14119,14119,
9241,9541,14119,14119,
9241,9011,14119,14119,
9241,9202,14119,14119,
9553,9221,14119,14119,
9553,9222,14119,14119,
9553,9281,14119,14119,
9553,9392,14119,14119,
9553,9031,14119,14119,
9553,9152,14119,14119,
9553,9373,14119,14119,
9553,9411,14119,14119,
9553,9041,14119,14119,
9553,9551,14119,14119,
9553,9552,14119,14119,
9553,9193,14119,14119,
9553,9133,14119,14119,
9553,9223,14119,14119,
9553,9523,14119,14119,
9553,9034,14119,14119,
9553,9161,14119,14119,
9553,9382,14119,14119,
9553,9383,14119,14119,
9553,9521,14119,14119,
9553,9033,14119,14119,
9553,9063,14119,14119,
9553,9042,14119,14119,
9553,9412,14119,14119,
9121,9261,14119,14119,
9121,9322,14119,14119,
9121,9501,14119,14119,
9121,9021,14119,14119,
9121,9171,14119,14119,
9121,9022,14119,14119,
9121,9123,14119,14119,
9121,9272,14119,14119,
9121,9331,14119,14119,
9121,9372,14119,14119,
9121,9011,14119,14119,
9121,9242,14119,14119,
9121,9103,14119,14119,
9121,9271,14119,14119,
9121,9443,14119,14119,
9121,9062,14119,14119,
9121,9522,14119,14119,
9121,9571,14119,14119,
9121,9122,14119,14119,
9121,9142,14119,14119,
9121,9213,14119,14119,
9121,9273,14119,14119,
9121,9542,14119,14119,
9121,9061,14119,14119,
9121,9262,14119,14119,
9121,9012,14119,14119,
9121,9013,14119,14119,
9121,9263,14119,14119,
9121,9323,14119,14119,
9121,9023,14119,14119,
9121,9291,14119,14119,
9122,9272,14119,14119,
9122,9502,14119,14119,
9122,9171,14119,14119,
9122,9292,14119,14119,
9122,9333,14119,14119,
9122,9503,14119,14119,
9122,9062,14119,14119,
9122,9331,14119,14119,
9122,9573,14119,14119,
9122,9501,14119,14119,
9122,9533,14119,14119,
9122,9123,14119,14119,
9122,9251,14119,14119,
9122,9571,14119,14119,
9122,9262,14119,14119,
9122,10113,14119,14103,
9122,9172,14119,14119,
9122,9323,14119,14119,
9122,9332,14119,14119,
9122,9022,14119,14119,
9122,9023,14119,14119,
9122,9253,14119,14119,
9122,9263,14119,14119,
9122,9021,14119,14119,
9122,9441,14119,14119,
9122,9572,14119,14119,
9122,10111,14119,14103,
9122,9121,14119,14119,
9133,9033,14119,14119,
9133,9243,14119,14119,
9133,9521,14119,14119,
9133,9153,14119,14119,
9133,9193,14119,14119,
9133,9412,14119,14119,
9133,9061,14119,14119,
9133,9152,14119,14119,
9133,9523,14119,14119,
9133,9553,14119,14119,
9133,9222,14119,14119,
9133,9522,14119,14119,
9133,9073,14119,14119,
9133,9382,14119,14119,
9133,9411,14119,14119,
9133,9042,14119,14119,
9133,9192,14119,14119,
9133,9551,14119,14119,
9133,9031,14119,14119,
9133,9034,14119,14119,
9133,9131,14119,14119,
9133,9371,14119,14119,
9133,9063,14119,14119,
9133,9132,14119,14119,
9133,9552,14119,14119,
9133,9032,14119,14119,
9133,9111,14119,14119,
9133,9221,14119,14119,
9133,9373,14119,14119,
9034,9523,14119,14119,
9034,9032,14119,14119,
9034,9042,14119,14119,
9034,9221,14119,14119,
9034,9412,14119,14119,
9034,9111,14119,14119,
9034,9193,14119,14119,
9034,9222,14119,14119,
9034,9383,14119,14119,
9034,9041,14119,14119,
9034,9223,14119,14119,
9034,9382,14119,14119,
9034,9411,14119,14119,
9034,9381,14119,14119,
9034,9413,14119,14119,
9034,9031,14119,14119,
9034,9033,14119,14119,
9034,9063,14119,14119,
9034,9392,14119,14119,
9034,9551,14119,14119,
9034,9553,14119,14119,
9034,9043,14119,14119,
9034,9371,14119,14119,
9034,9552,14119,14119,
9034,9131,14119,14119,
9034,9133,14119,14119,
9034,9281,14119,14119,
9034,9521,14119,14119,
9463,9312,14119,14119,
9463,9061,14119,14119,
9463,9013,14119,14119,
9463,9073,14119,14119,
9463,9131,14119,14119,
9463,9132,14119,14119,
9463,9153,14119,14119,
9463,9461,14119,14119,
9463,9011,14119,14119,
9463,9072,14119,14119,
9463,9151,14119,14119,
9463,9192,14119,14119,
9463,9371,14119,14119,
9463,9143,14119,14119,
9463,9152,14119,14119,
9463,9243,14119,14119,
9463,9552,14119,14119,
9463,9241,14119,14119,
9463,9543,14119,14119,
9463,9071,14119,14119,
9463,9521,14119,14119,
9463,9551,14119,14119,
9463,9031,14119,14119,
9463,9462,14119,14119,
9032,9031,14119,14119,
9032,9281,14119,14119,
9032,9292,14119,14119,
9032,9552,14119,14119,
9032,9062,14119,14119,
9032,9123,14119,14119,
9032,9523,14119,14119,
9032,9113,14119,14119,
9032,9222,14119,14119,
9032,9401,14119,14119,
9032,9112,14119,14119,
9032,9034,14119,14119,
9032,9063,14119,14119,
9032,9061,14119,14119,
9032,9111,14119,14119,
9032,9152,14119,14119,
9032,9282,14119,14119,
9032,9522,14119,14119,
9032,9133,14119,14119,
9032,9273,14119,14119,
9032,9373,14119,14119,
9032,9033,14119,14119,
9032,9162,14119,14119,
9032,9291,14119,14119,
9032,9521,14119,14119,
9032,9161,14119,14119,
9032,9243,14119,14119,
9032,9293,14119,14119,
9032,9412,14119,14119,
9032,9171,14119,14119,
9031,9061,14119,14119,
9031,9373,14119,14119,
9031,9521,14119,14119,
9031,9073,14119,14119,
9031,9153,14119,14119,
9031,9133,14119,14119,
9031,9192,14119,14119,
9031,9523,14119,14119,
9031,9553,14119,14119,
9031,9033,14119,14119,
9031,9034,14119,14119,
9031,9273,14119,14119,
9031,9072,14119,14119,
9031,9382,14119,14119,
9031,9063,14119,14119,
9031,9132,14119,14119,
9031,9243,14119,14119,
9031,9412,14119,14119,
9031,9222,14119,14119,
9031,9032,14119,14119,
9031,9161,14119,14119,
9031,9371,14119,14119,
9031,9463,14119,14119,
9031,9111,14119,14119,
9031,9152,14119,14119,
9031,9522,14119,14119,
9031,9552,14119,14119,
9061,9192,14119,14119,
9061,9133,14119,14119,
9061,9153,14119,14119,
9061,9031,14119,14119,
9061,9062,14119,14119,
9061,9121,14119,14119,
9061,9241,14119,14119,
9061,9552,14119,14119,
9061,9032,14119,14119,
9061,9132,14119,14119,
9061,9271,14119,14119,
9061,9372,14119,14119,
9061,9013,14119,14119,
9061,9072,14119,14119,
9061,9151,14119,14119,
9061,9273,14119,14119,
9061,9463,14119,14119,
9061,9291,14119,14119,
9061,9371,14119,14119,
9061,9111,14119,14119,
9061,9373,14119,14119,
9061,9522,14119,14119,
9061,9073,14119,14119,
9061,9152,14119,14119,
9061,9063,14119,14119,
9061,9131,14119,14119,
9061,9242,14119,14119,
9061,9243,14119,14119,
9061,9521,14119,14119,
9111,9123,14119,14119,
9111,9152,14119,14119,
9111,9161,14119,14119,
9111,9412,14119,14119,
9111,9133,14119,14119,
9111,9243,14119,14119,
9111,9371,14119,14119,
9111,9373,14119,14119,
9111,9171,14119,14119,
9111,9273,14119,14119,
9111,9522,14119,14119,
9111,9032,14119,14119,
9111,9331,14119,14119,
9111,9552,14119,14119,
9111,9031,14119,14119,
9111,9034,14119,14119,
9111,9113,14119,14119,
9111,9132,14119,14119,
9111,9372,14119,14119,
9111,9523,14119,14119,
9111,9061,14119,14119,
9111,9062,14119,14119,
9111,9112,14119,14119,
9111,9192,14119,14119,
9111,9291,14119,14119,
9111,9521,14119,14119,
9111,9033,14119,14119,
9111,9063,14119,14119,
9111,9293,14119,14119,
9111,9503,14119,14119,
9112,9161,14119,14119,
9112,9111,14119,14119,
9112,9162,14119,14119,
9112,9402,14119,14119,
9112,9503,14119,14119,
9112,9333,14119,14119,
9112,9401,14119,14119,
9112,9063,14119,14119,
9112,9171,14119,14119,
9112,9173,14119,14119,
9112,9573,14119,14119,
9112,9331,14119,14119,
9112,9563,14119,14119,
9112,9123,14119,14119,
9112,9291,14119,14119,
9112,9292,14119,14119,
9112,9522,14119,14119,
9112,9293,14119,14119,
9112,9032,14119,14119,
9112,9273,14119,14119,
9112,9501,14119,14119,
9112,9561,14119,14119,
9112,9272,14119,14119,
9112,9062,14119,14119,
9112,9113,14119,14119,
9112,9282,14119,14119,
9243,9133,14119,14119,
9243,9241,14119,14119,
9243,9063,14119,14119,
9243,9073,14119,14119,
9243,9291,14119,14119,
9243,9371,14119,14119,
9243,9013,14119,14119,
9243,9271,14119,14119,
9243,9032,14119,14119,
9243,9062,14119,14119,
9243,9373,14119,14119,
9243,9072,14119,14119,
9243,9151,14119,14119,
9243,9522,14119,14119,
9243,9552,14119,14119,
9243,9061,14119,14119,
9243,9111,14119,14119,
9243,9242,14119,14119,
9243,9143,14119,14119,
9243,9152,14119,14119,
9243,9372,14119,14119,
9243,9031,14119,14119,
9243,9153,14119,14119,
9243,9273,14119,14119,
9243,9463,14119,14119,
9243,9132,14119,14119,
9243,9263,14119,14119,
9243,9521,14119,14119,
9023,9251,14119,14119,
9023,9322,14119,14119,
9023,9502,14119,14119,
9023,9103,14119,14119,
9023,9273,14119,14119,
9023,9171,14119,14119,
9023,9573,14119,14119,
9023,9022,14119,14119,
9023,9122,14119,14119,
9023,9123,14119,14119,
9023,9571,14119,14119,
9023,9021,14119,14119,
9023,9262,14119,14119,
9023,9331,14119,14119,
9023,9253,14119,14119,
9023,9263,14119,14119,
9023,9272,14119,14119,
9023,9062,14119,14119,
9023,9291,14119,14119,
9023,9501,14119,14119,
9023,9443,14119,14119,
9023,9012,14119,14119,
9023,9292,14119,14119,
9023,9372,14119,14119,
9023,9503,14119,14119,
9023,9323,14119,14119,
9023,9121,14119,14119,
9023,9242,14119,14119,
9023,9271,14119,14119,
9143,9013,14119,14119,
9143,9153,14119,14119,
9143,9152,14119,14119,
9143,9461,14119,14119,
9143,9073,14119,14119,
9143,9131,14119,14119,
9143,9263,14119,14119,
9143,9072,14119,14119,
9143,9132,14119,14119,
9143,9261,14119,14119,
9143,9271,14119,14119,
9143,9371,14119,14119,
9143,9462,14119,14119,
9143,9463,14119,14119,
9143,9141,14119,14119,
9143,9213,14119,14119,
9143,9241,14119,14119,
9143,9543,14119,14119,
9143,9011,14119,14119,
9143,9142,14119,14119,
9143,9151,14119,14119,
9143,9242,14119,14119,
9143,9243,14119,14119,
9142,9121,14119,14119,
9142,9213,14119,14119,
9142,9013,14119,14119,
9142,9053,14119,14119,
9142,9321,14119,14119,
9142,9443,14119,14119,
9142,9542,14119,14119,
9142,9072,14119,14119,
9142,9263,14119,14119,
9142,9011,14119,14119,
9142,9012,14119,14119,
9142,9103,14119,14119,
9142,9211,14119,14119,
9142,9212,14119,14119,
9142,9323,14119,14119,
9142,9261,14119,14119,
9142,9052,14119,14119,
9142,9143,14119,14119,
9142,9141,14119,14119,
9142,9151,14119,14119,
9142,9271,14119,14119,
9142,9462,14119,14119,
9142,9543,14119,14119,
9142,9241,14119,14119,
9142,9021,14119,14119,
9142,9242,14119,14119,
9142,9262,14119,14119,
9551,9131,14119,14119,
9551,9392,14119,14119,
9551,9552,14119,14119,
9551,9133,14119,14119,
9551,9232,14119,14119,
9551,9521,14119,14119,
9551,9153,14119,14119,
9551,9034,14119,14119,
9551,9191,14119,14119,
9551,9312,14119,14119,
9551,9381,14119,14119,
9551,9073,14119,14119,
9551,9313,14119,14119,
9551,9371,14119,14119,
9551,9411,14119,14119,
9551,9074,14119,14119,
9551,9382,14119,14119,
